endpoint,method,description,status,pic,story_point,sprint
/api/masterteks/{record_id},DELETE,Hapus data masterteks berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterupt,POST,Insert data ke tabel masterupt.,todo,backend,1,sprint-1
/api/masterupt,GET,Ambil semua data dari tabel masterupt.,todo,backend,1,sprint-1
/api/masterupt/{record_id},GET,Ambil data masterupt berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterupt/{record_id},PUT,Update data masterupt berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterupt/{record_id},DELETE,Hapus data masterupt berdasarkan record_id.,todo,backend,1,sprint-1
/api/masteruunjop,POST,Insert data ke tabel masteruunjop.,todo,backend,1,sprint-1
/api/masteruunjop,GET,Ambil semua data dari tabel masteruunjop.,todo,backend,1,sprint-1
/api/masteruunjop/{record_id},GET,Ambil data masteruunjop berdasarkan record_id.,todo,backend,1,sprint-1
/api/masteruunjop/{record_id},PUT,Update data masteruunjop berdasarkan record_id.,todo,backend,1,sprint-1
/api/masteruunjop/{record_id},DELETE,Hapus data masteruunjop berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterwp,POST,Insert data ke tabel masterwp.,todo,backend,1,sprint-1
/api/masterwp,GET,Ambil semua data dari tabel masterwp.,todo,backend,1,sprint-1
/api/masterwp/{record_id},GET,Ambil data masterwp berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterwp/{record_id},PUT,Update data masterwp berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterwp/{record_id},DELETE,Hapus data masterwp berdasarkan record_id.,todo,backend,1,sprint-1
/api/masterwpdata,POST,Insert data ke tabel masterwpdata.,todo,backend,1,sprint-1
/api/masterwpdata,GET,Ambil semua data dari tabel masterwpdata.,todo,backend,1,sprint-1
/api/masterwpdata/{record_id},GET,Ambil data masterwpdata berdasarkan record_id.,todo,backend,1,sprint-1
